,a01,Savings in the past year,Current Savings,Total Savings(Standardized),Saving Frequency(Standardized),Savings diversification,Amount of Land (in 2015),Current Land,Land Acquired,Current Value of Land,Untitled,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household
167,836.0,1,1,-0.212940453,0.693330638,-0.493815326,16.0,16.0,0.0,1200000,223,9,10.0,19,853,4.0,4.0,2.0
168,837.0,1,1,-0.07649852,0.693330638,-0.493815326,77.0,77.0,0.0,4700000,224,12,13.0,25,854,4.0,4.0,4.0
169,839.1,1,0,-0.236235418,-1.120578168,-0.493815326,5.0,5.0,0.0,1950000,225,12,10.0,22,856,4.0,4.0,3.5
170,841.0,1,1,-0.220261728,1.056112399,-0.493815326,120.0,60.0,-60.0,820000,226,7,5.0,12,859,4.0,4.0,4.0
171,844.0,1,1,-0.202291327,1.056112399,0.934376058,2.0,2.0,0.0,1000003,227,10,7.0,17,862,4.0,4.0,4.0
172,849.0,1,1,-0.204288038,1.056112399,0.934376058,151.0,51.0,-100.0,710000,229,4,,4,868,4.0,4.0,4.0
173,850.0,1,0,-0.236235418,-1.120578168,-0.493815326,94.0,74.0,-20.0,1450000,230,8,3.0,11,869,2.666666667,3.0,1.333333333
174,853.0,1,1,-0.202956897,1.056112399,-0.493815326,44.0,6.0,-38.0,340000,231,7,5.0,12,872,3.333333333,3.333333333,3.4
175,855.0,1,1,-0.103121336,-0.757796407,-0.493815326,190.0,120.0,-70.0,3340000,233,6,10.0,16,874,4.0,4.0,4.0
176,856.0,1,0,-0.236235418,-1.120578168,-0.493815326,159.0,156.0,-3.0,4480000,234,9,13.0,22,875,3.0,3.25,1.5
177,857.0,1,1,-0.22292401,1.056112399,-0.493815326,12.0,29.0,17.0,900000,235,10,10.0,20,876,2.8,3.4,1.666666667
178,858.0,1,1,-0.089011244,1.056112399,3.790758827,34.0,34.0,0.0,2000000,236,7,8.0,15,877,2.666666667,2.666666667,2.8
179,869.0,1,1,-0.042587708,1.056112399,2.362567443,23.5,55.5,32.0,1130000,237,6,5.0,11,888,4.0,4.0,3.0
180,884.0,1,1,3.424401814,-0.757796407,-0.493815326,49.0,302.0,253.0,5126500,239,12,9.0,21,905,3.5,3.5,4.0
181,887.0,1,1,-0.216268305,1.056112399,0.934376058,236.0,84.0,-152.0,940000,240,6,9.0,15,907,3.0,3.0,4.0
182,890.0,0,0,-0.236235418,-1.120578168,-0.493815326,1549.0,1619.0,70.0,17755000,241,12,14.0,26,909,3.5,3.333333333,4.0
183,907.0,1,1,0.890701738,0.693330638,3.790758827,68.0,67.0,-1.0,2700000,242,9,10.0,19,926,4.0,4.0,2.0
184,910.0,1,1,-0.226251862,0.693330638,-0.493815326,53.0,47.0,-6.0,1200000,244,7,9.0,16,928,4.0,4.0,4.0
185,914.0,1,1,-0.142503137,0.693330638,-0.493815326,2.5,2.5,0.0,450000,246,4,5.0,9,932,4.0,4.0,1.0
