a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
4937,0,0,-0.236235418,-1.120578168,-0.493815326,-0.599329797,-0.692706333,0.042661371,-0.565352495,-0.770144296,0.648186894,0.054893897,0.930271042,0.895122396,-0.053366704,1
4948,1,1,-0.103121336,-0.757796407,-0.493815326,-0.252510339,-0.025577301,0.345471452,-0.568414407,-1.111402145,-0.619603973,-0.913924982,-0.274465904,-0.245746601,1.1827291,1
4950,1,0,-0.236235418,-1.120578168,-0.493815326,-0.684398721,1.944041746,3.412644531,-0.354080536,-1.111402145,-0.619603973,-0.913924982,-0.876834376,-0.816181099,-0.053366704,1
4966,0,0,-0.236235418,-1.120578168,-0.493815326,-0.638592378,-0.549750112,0.277094982,-0.684767081,0.253629251,-1.887394839,-1.075394795,0.930271042,0.895122396,1.1827291,1
4970,1,0,-0.236235418,-1.120578168,-0.493815326,0.185921807,-0.645054259,-1.070898282,-0.611281182,1.277402799,1.15530324,1.346652402,0.568849959,0.210600998,0.564681198,1
4971,1,1,-0.233905921,0.693330638,-0.493815326,-0.664767431,-0.200301571,0.745962204,-0.497990421,-2.135175693,-1.887394839,-2.205683488,0.930271042,0.895122396,0.564681198,1
4975,1,0,-0.236235418,-1.120578168,-0.493815326,3.811166716,0.911580149,-4.567866315,-0.047889291,0.253629251,0.648186894,0.539303336,0.930271042,0.895122396,1.1827291,1
4983,1,1,-0.212940453,1.056112399,-0.493815326,-0.625504851,-0.009693276,0.921787413,0.025596608,-2.817691391,0.648186894,-0.913924982,-1.599676544,-1.500702497,-0.671414606,1
4985,1,1,-0.214604379,1.056112399,-0.493815326,-0.533892164,-0.255895657,0.482224392,-0.516361896,-0.428886447,0.394628721,0.054893897,0.930271042,0.895122396,0.564681198,1
4988.1,0,0,-0.236235418,-1.120578168,-0.493815326,-0.625504851,-0.645054259,0.140342042,-0.57147632,0.594887101,-0.619603973,-0.106575916,0.930271042,0.895122396,1.1827291,1
4993,0,0,-0.236235418,-1.120578168,-0.493815326,-0.003847331,0.030016785,0.042661371,-0.249975513,1.277402799,1.408861414,1.508122215,0.026718333,0.039470649,-0.053366704,1
